No.,TITLE,ARTIST
45,Ice Ice Baby,Vanilla Ice
46,Blame It on the Rain,Milli Vanilli
47,Have You Seen Her,MC Hammer
48,With Every Beat of My Heart,Taylor Dayne
49,Come Back to Me,Janet Jackson
50,No More Lies,Michel'le
51,Praying for Time,George Michael
52,How Can We Be Lovers,Michael Bolton
53,Do You Remember?,Phil Collins
54,Ready or Not,After 7
55,U Can't Touch This,MC Hammer
56,I Wish It Would Rain Down,Phil Collins
57,Just Between You and Me,Lou Gramm
58,Something Happened on the Way to Heaven,Phil Collins
59,Black Cat,Janet Jackson
60,Can't Stop,After 7
61,Janie's Got a Gun,Aerosmith
62,The Humpty Dance,Digital Underground
63,I'll Be Your Shelter,Taylor Dayne
64,Free Fallin',Tom Petty
65,Giving You the Benefit,Pebbles
66,Enjoy the Silence,Depeche Mode
67,Love Song,Tesla
68,Price of Love,Bad English
69,Girls Nite Out,Tyler Collins
70,King of Wishful Thinking,Go West
71,What Kind of Man Would I Be?,Chicago
72,I Remember You,Skid Row
73,Get Up! (Before the Night Is Over),Technotronic featuring Ya Kid K
74,Here We Are,Gloria Estefan
75,Epic,Faith No More
76,Love Takes Time,Mariah Carey
77,Just Like Jesse James,Cher
78,Love Shack,The B-52's
79,All or Nothing,Milli Vanilli
80,Romeo,Dino
81,Everybody Everybody,Black Box
82,I Go to Extremes,Billy Joel
83,Whip Appeal,Babyface
84,Oh Girl,Paul Young
85,C'mon and Get My Love,D Mob with Cathy Dennis
86,(It's Just) The Way That You Love Me,Paula Abdul
87,We Can't Go Wrong,The Cover Girls
88,When I'm Back on My Feet Again,Michael Bolton
89,Make You Sweat,Keith Sweat
90,This One's for the Children,New Kids on the Block
91,What It Takes,Aerosmith
92,Forever,Kiss
93,Jerk Out,The Time
94,Just a Friend,Biz Markie
95,Whole Wide World,A'Me Lorain
96,Without You,Mötley Crüe
97,Swing the Mood,Jive Bunny and the Mastermixers
98,Thieves in the Temple,Prince
99,Mentirosa,Mellow Man Ace
100,Tic-Tac-Toe,Kyper
1,Gangsta's Paradise,Coolio featuring L.V.
2,Waterfalls,TLC
3,Creep,TLC
4,Kiss from a Rose,Seal
5,On Bended Knee,Boyz II Men
6,Another Night,Real McCoy
7,Fantasy,Mariah Carey
8,Take a Bow,Madonna
9,Don't Take It Personal (Just One of Dem Days),Monica
10,This Is How We Do It,Montell Jordan
11,I Know,Dionne Farris
12,Water Runs Dry,Boyz II Men
13,Freak Like Me,Adina Howard
14,Run-Around,Blues Traveler
15,I Can Love You Like That,All-4-One
16,Have You Ever Really Loved a Woman?,Bryan Adams
17,Always,Bon Jovi
18,"Boombastic / ""In the Summertime""",Shaggy
19,Total Eclipse of the Heart,Nicki French
20,You Gotta Be,Des'ree
21,You Are Not Alone,Michael Jackson
22,Hold My Hand,Hootie & the Blowfish
23,One More Chance/Stay with Me,The Notorious B.I.G.
24,Here Comes the Hotstepper,Ini Kamoze
25,Candy Rain,Soul for Real
26,Let Her Cry,Hootie & the Blowfish
27,I Believe,Blessid Union of Souls
28,Red Light Special,TLC
29,Runaway,Janet Jackson
30,Strong Enough,Sheryl Crow
31,Colors of the Wind,Vanessa Williams
32,Someone to Love,Jon B. featuring Babyface
33,Only Wanna Be with You,Hootie & the Blowfish
34,If You Love Me,Brownstone
35,In the House of Stone and Light,Martin Page
36,I Got 5 on It,Luniz
37,Baby,Brandy
38,Run Away,Real McCoy
39,As I Lay Me Down,Sophie B. Hawkins
40,He's Mine,MoKenStef
41,December,Collective Soul
42,I'll Be There for You/You're All I Need to Get By,Method Man featuring Mary J. Blige
43,Shy Guy,Diana King
44,I'm the Only One,Melissa Etheridge
45,Every Little Thing I Do,Soul for Real
46,Before I Let You Go,Blackstreet
47,"Big Poppa / ""Warning""",The Notorious B.I.G.
48,Sukiyaki,4 P.M.
49,I Wanna Be Down,Brandy
50,I'll Make Love to You,Boyz II Men
51,"Dear Mama / ""Old School""",2Pac
52,Hold On,Jamie Walters
53,Keep Their Heads Ringin',Dr. Dre
54,The Rhythm of the Night,Corona
55,Roll to Me,Del Amitri
56,"Scream / ""Childhood""",Michael Jackson and Janet Jackson
57,Freek'n You,Jodeci
58,I Wish,Skee-Lo
59,Believe,Elton John
60,Carnival,Natalie Merchant
61,You Don't Know How It Feels,Tom Petty
62,Back for Good,Take That
63,Tootsee Roll,69 Boyz
